corpus,language,collection,is_alpha,is_ascii,is_digit,is_lower,is_upper,is_title,is_punct,is_left_punct,is_right_punct,is_space,is_bracket,is_quote,is_currency,like_url,like_num,like_email,is_stop
biomedical,German,,0.784,0.9423,0.0162,0.5405,0.0191,0.2456,0.1805,0.0191,0.0166,0.0112,0.0264,0.0054,0.0,0.0002,0.0188,0.0,0.394
cq,German,,0.8196,0.9445,0.0092,0.5654,0.0097,0.2599,0.1541,0.0092,0.0082,0.0181,0.0117,0.0031,0.0001,0.0002,0.0128,0.0,0.4582
general,German,,0.8173,0.9436,0.0075,0.5717,0.0058,0.2536,0.1566,0.0089,0.0082,0.0267,0.0095,0.0041,0.0001,0.0002,0.0129,0.0,0.4653
human,German,,0.8575,0.9448,0.0089,0.5891,0.0028,0.2688,0.127,0.0005,0.0005,0.0004,0.0008,0.0001,0.0,0.0,0.0113,0.0,0.5641
human_cq,German,,0.8567,0.9448,0.0081,0.5766,0.0043,0.2799,0.1297,0.0009,0.0009,0.0003,0.0014,0.0002,0.0,0.0,0.0083,0.0,0.5542
human_pq,German,,0.8629,0.945,0.002,0.616,0.0016,0.2471,0.1326,0.0001,0.0001,0.0005,0.0003,0.0,0.0,0.0,0.0021,0.0,0.5984
human_whq,German,,0.8386,0.9442,0.0376,0.5158,0.0035,0.325,0.0984,0.0007,0.0007,0.0005,0.0015,0.0,0.0,0.0,0.0553,0.0,0.4553
large,German,,0.8555,0.9411,0.0064,0.6081,0.0015,0.2494,0.1334,0.0011,0.0009,0.0223,0.0016,0.0002,0.0,0.0,0.0074,0.0,0.5549
large_cq,German,,0.8492,0.947,0.0088,0.5884,0.0021,0.2649,0.1355,0.0016,0.0012,0.0226,0.0028,0.0,0.0,0.0,0.009,0.0,0.5513
large_general,German,,0.8555,0.9411,0.0064,0.6081,0.0015,0.2494,0.1334,0.0011,0.0009,0.0223,0.0016,0.0002,0.0,0.0,0.0074,0.0,0.5549
large_general_cq,German,,0.8492,0.947,0.0088,0.5884,0.0021,0.2649,0.1355,0.0016,0.0012,0.0226,0.0028,0.0,0.0,0.0,0.009,0.0,0.5513
large_general_pq,German,,0.8608,0.9387,0.0024,0.6268,0.001,0.2349,0.1351,0.0006,0.0005,0.0197,0.0008,0.0001,0.0,0.0,0.0024,0.0,0.5669
large_general_whq,German,,0.8506,0.9377,0.0145,0.5854,0.002,0.2665,0.1244,0.002,0.0015,0.0297,0.0019,0.0009,0.0,0.0,0.02,0.0,0.5236
large_pq,German,,0.8608,0.9387,0.0024,0.6268,0.001,0.2349,0.1351,0.0006,0.0005,0.0197,0.0008,0.0001,0.0,0.0,0.0024,0.0,0.5669
large_whq,German,,0.8506,0.9377,0.0145,0.5854,0.002,0.2665,0.1244,0.002,0.0015,0.0297,0.0019,0.0009,0.0,0.0,0.02,0.0,0.5236
medium,German,,0.8186,0.944,0.0086,0.5728,0.0067,0.2531,0.1545,0.0091,0.0081,0.0218,0.0096,0.0044,0.0,0.0001,0.0144,0.0,0.473
medium_biomedical,German,,0.8315,0.9459,0.0117,0.6,0.0126,0.2357,0.144,0.011,0.0081,0.0008,0.0143,0.0039,0.0,0.0,0.0136,0.0,0.4488
medium_biomedical_cq,German,,0.8252,0.9515,0.0148,0.5824,0.0145,0.2482,0.1465,0.0099,0.0082,0.0008,0.0134,0.0035,0.0,0.0001,0.0162,0.0,0.4281
medium_biomedical_pq,German,,0.8441,0.9424,0.0059,0.6232,0.0105,0.2248,0.1401,0.009,0.0066,0.0004,0.0114,0.0034,0.0,0.0,0.007,0.0,0.4808
medium_biomedical_whq,German,,0.806,0.9462,0.0234,0.5639,0.0153,0.2452,0.1505,0.0184,0.0122,0.0019,0.0243,0.0058,0.0,0.0,0.0281,0.0,0.3925
medium_cq,German,,0.826,0.9475,0.0089,0.5734,0.0083,0.2602,0.1467,0.0077,0.0069,0.0184,0.0088,0.0034,0.0,0.0001,0.0139,0.0,0.4667
